iter	RMSE
0	4.712549125
1	4.611953054
2	4.514352532
3	4.414086978
4	4.309277275
5	4.227491096
6	4.13650479
7	4.060166216
8	3.975471866
9	3.894009792
10	3.80722626
11	3.729297049
12	3.656658929
13	3.599633916
14	3.521211684
15	3.450682929
16	3.382092778
17	3.310243292
18	3.260432213
19	3.215518892
20	3.151165356
21	3.097357069
22	3.048288283
23	2.993332532
24	2.940885922
25	2.888297788
26	2.843596159
27	2.798754708
28	2.750406436
29	2.705115586
30	2.661071628
31	2.614324849
32	2.58304523
33	2.542918703
34	2.502859897
35	2.47411524
36	2.43508332
37	2.401630112
38	2.368184076
39	2.339087088
40	2.313312525
41	2.28397688
42	2.251459587
43	2.221744319
44	2.196882936
45	2.172426334
46	2.143338298
47	2.119471411
48	2.097606716
49	2.074866095
50	2.054290528
51	2.033326983
52	2.015850647
53	1.995665326
54	1.974415581
55	1.954206554
56	1.930147519
57	1.914430903
58	1.892170995
59	1.873829979
60	1.850525914
61	1.829252202
62	1.811899198
63	1.793687564
64	1.77747262
65	1.764066273
66	1.747204596
67	1.733007693
68	1.716280234
69	1.698551717
70	1.683114427
71	1.665271543
72	1.648925522
73	1.636585404
74	1.623252994
75	1.607474286
76	1.59610856
77	1.586681677
78	1.572277812
79	1.561136874
80	1.548859337
81	1.535609981
82	1.522157088
83	1.511795445
84	1.499845625
85	1.489634617
86	1.479980592
87	1.469718834
88	1.461451329
89	1.450790485
90	1.437274613
91	1.426607305
92	1.41331991
93	1.404035011
94	1.393870472
95	1.38278667
96	1.37160584
97	1.363858283
98	1.353928377
99	1.345109993
100	1.333537474
101	1.323494041
102	1.313635902
103	1.30437758
104	1.294765695
105	1.284834306
106	1.275251004
107	1.264623745
108	1.256197448
109	1.248803964
110	1.243471279
111	1.233897093
112	1.224862422
113	1.217013283
114	1.207326075
115	1.199679315
116	1.191907008
117	1.181805439
118	1.173592412
119	1.166236056
120	1.15955383
121	1.152525413
122	1.143223912
123	1.136192623
124	1.130750388
125	1.121677444
126	1.114583609
127	1.107048639
128	1.100961855
129	1.094102119
130	1.087118011
131	1.082644191
132	1.07443085
133	1.067720593
134	1.061919751
135	1.057453253
136	1.049182747
137	1.042577775
138	1.036169016
139	1.028484867
140	1.023369136
141	1.018686557
142	1.012390753
143	1.007791305
144	1.002080118
145	0.9975560133
146	0.9917259409
147	0.9854044023
148	0.9792119422
149	0.970641739
150	0.9655322228
151	0.9630813339
152	0.9541619984
153	0.9507070352
154	0.9456186942
155	0.9419726677
156	0.9364885097
157	0.9304457393
158	0.9268629834
159	0.9218299142
160	0.918900512
161	0.9121854896
162	0.9068315437
163	0.9040198794
164	0.8984226044
165	0.8960275368
166	0.8943318992
167	0.8900044192
168	0.8836138564
169	0.8761255119
170	0.8687322195
171	0.8602874722
172	0.8567629368
173	0.8525868255
174	0.8492411812
175	0.8411549014
176	0.8354211924
177	0.8323070076
178	0.8254589147
179	0.8190091985
180	0.8173288139
181	0.8119003433
182	0.810065386
183	0.80850323
184	0.8073589878
185	0.8056225727
186	0.7983346352
187	0.7945652735
188	0.7885193032
189	0.7808684862
190	0.779243469
191	0.7733775671
192	0.7685043351
193	0.7648004041
194	0.7580343706
195	0.7529754368
196	0.7515454202
197	0.7484456143
198	0.7429996225
199	0.7411793864
200	0.7391807833
201	0.7368493605
202	0.7354081949
203	0.7340952146
204	0.7330929174
205	0.7314566046
206	0.7289167186
207	0.725001128
208	0.7198461695
209	0.7137267638
