iter	Passed	Remaining
0	150	150009
1	155	77431
2	160	53215
3	165	41114
4	170	33830
5	175	29036
6	180	25539
7	184	22933
8	190	20968
9	197	19565
10	203	18295
11	208	17162
12	213	16205
13	218	15390
14	223	14686
15	228	14062
16	233	13510
17	240	13102
18	246	12737
19	253	12405
20	259	12082
21	265	11785
22	271	11522
23	277	11277
24	283	11072
25	290	10870
26	296	10683
27	302	10501
28	308	10341
29	315	10188
30	321	10034
31	326	9886
32	331	9726
33	337	9588
34	342	9449
35	347	9307
36	352	9174
37	357	9049
38	362	8927
39	367	8809
40	371	8698
41	378	8626
42	383	8541
43	390	8474
44	396	8416
45	403	8359
46	412	8362
47	431	8549
48	441	8573
49	458	8710
50	468	8726
51	475	8667
52	482	8619
53	489	8571
54	496	8526
55	506	8538
56	513	8498
57	517	8410
58	524	8360
59	530	8307
60	535	8242
61	540	8176
62	545	8115
63	550	8056
64	555	7997
65	564	7993
66	575	8018
67	584	8005
68	591	7974
69	597	7933
70	603	7897
71	612	7888
72	618	7850
73	623	7799
74	628	7745
75	632	7692
76	637	7645
77	642	7598
78	647	7552
79	652	7506
80	657	7460
81	662	7415
82	667	7371
83	671	7327
84	676	7285
85	686	7290
86	692	7262
87	697	7227
88	702	7193
89	707	7154
90	712	7118
91	717	7082
92	722	7051
93	729	7028
94	734	6993
95	739	6965
96	745	6935
97	749	6901
98	754	6867
99	759	6836
100	764	6802
101	769	6772
102	775	6751
103	780	6725
104	785	6695
105	791	6672
106	795	6643
107	801	6615
108	806	6592
109	811	6565
110	816	6537
111	821	6512
112	826	6484
113	831	6458
114	835	6433
115	840	6407
116	845	6382
117	850	6358
118	855	6333
119	860	6308
120	865	6286
121	870	6262
122	875	6239
123	880	6218
124	884	6193
125	889	6171
126	894	6147
127	899	6128
128	904	6106
129	909	6086
130	914	6065
131	919	6044
132	924	6023
133	930	6011
134	937	6008
135	942	5990
136	947	5970
137	952	5949
138	957	5931
139	962	5910
140	967	5892
141	972	5874
142	977	5855
143	981	5836
144	986	5817
145	993	5811
146	1000	5803
147	1008	5803
148	1015	5797
149	1021	5788
150	1027	5779
151	1034	5772
152	1041	5765
153	1047	5754
154	1053	5742
155	1059	5733
156	1067	5729
157	1073	5720
158	1079	5711
159	1088	5712
160	1095	5707
161	1102	5702
162	1108	5692
163	1114	5680
164	1119	5667
165	1126	5657
166	1130	5641
167	1135	5624
168	1140	5608
169	1145	5593
170	1150	5577
171	1155	5563
172	1157	5532
173	1161	5515
174	1167	5501
175	1172	5488
176	1179	5486
177	1185	5474
178	1190	5461
179	1196	5448
180	1200	5433
181	1205	5420
182	1210	5405
183	1215	5392
184	1221	5383
185	1227	5371
186	1233	5362
187	1239	5354
188	1245	5346
189	1252	5339
190	1258	5331
191	1264	5323
192	1270	5314
193	1277	5306
194	1283	5299
195	1289	5291
196	1296	5284
197	1302	5275
198	1308	5266
199	1313	5255
200	1318	5242
201	1324	5230
202	1329	5218
203	1334	5206
204	1339	5194
205	1344	5183
206	1349	5170
207	1354	5158
208	1361	5151
209	1367	5144
210	1371	5126
211	1377	5118
212	1383	5110
213	1389	5104
214	1395	5095
215	1401	5087
216	1407	5077
217	1413	5071
218	1420	5065
219	1426	5058
220	1432	5051
221	1439	5044
222	1445	5035
223	1451	5028
224	1457	5021
225	1462	5009
226	1467	4997
227	1472	4985
228	1477	4973
229	1482	4962
230	1489	4959
231	1494	4948
232	1500	4939
233	1505	4929
234	1510	4917
235	1515	4906
236	1520	4895
237	1525	4883
238	1530	4872
239	1534	4860
240	1537	4843
241	1542	4831
242	1549	4826
243	1556	4821
244	1562	4813
245	1568	4805
246	1574	4798
247	1580	4791
248	1586	4785
249	1593	4780
250	1598	4769
251	1603	4760
252	1608	4750
253	1613	4740
254	1619	4730
255	1623	4719
256	1628	4709
257	1633	4698
258	1638	4688
259	1643	4677
260	1648	4668
261	1655	4662
262	1661	4656
263	1667	4647
264	1672	4637
265	1676	4627
266	1681	4617
267	1686	4607
268	1691	4597
269	1696	4587
270	1701	4577
271	1706	4568
272	1711	4558
273	1716	4548
274	1721	4538
275	1726	4528
276	1731	4518
277	1736	4508
278	1740	4498
279	1746	4489
280	1750	4480
281	1755	4470
282	1760	4461
283	1766	4452
284	1770	4441
285	1775	4433
286	1780	4423
287	1785	4414
288	1790	4404
289	1795	4394
290	1799	4384
291	1804	4375
292	1809	4365
293	1813	4356
294	1818	4346
295	1823	4337
296	1828	4328
297	1833	4319
298	1838	4310
299	1843	4300
300	1847	4291
301	1853	4282
302	1857	4273
303	1862	4263
304	1867	4255
305	1872	4246
306	1877	4237
307	1881	4228
308	1886	4219
309	1891	4210
310	1896	4201
311	1901	4193
312	1906	4183
