iter	Passed	Remaining
0	19	23390
1	25	15361
2	31	12630
3	37	11247
4	43	10477
5	50	9953
6	56	9565
7	62	9280
8	68	9035
9	74	8865
10	80	8715
11	87	8641
12	94	8626
13	101	8609
14	106	8451
15	114	8501
16	121	8427
17	127	8364
18	133	8291
19	139	8228
20	145	8172
21	151	8103
22	157	8059
23	163	8026
24	169	7983
25	176	7949
26	182	7915
27	188	7908
28	197	7984
29	204	7958
30	210	7929
31	216	7891
32	222	7866
33	228	7841
34	234	7812
35	240	7785
36	246	7756
37	252	7730
38	258	7708
39	265	7703
40	271	7676
41	277	7650
42	283	7623
43	289	7602
44	295	7585
45	301	7570
46	308	7562
47	316	7606
48	323	7602
49	329	7578
50	335	7561
51	341	7543
52	347	7525
53	353	7507
54	359	7486
55	365	7464
56	371	7449
57	375	7393
58	381	7371
59	387	7357
60	393	7353
61	400	7344
62	406	7329
63	412	7319
64	418	7310
65	424	7300
66	430	7287
67	436	7270
68	442	7254
69	448	7243
70	454	7229
71	460	7218
72	467	7216
73	473	7202
74	479	7193
75	485	7180
76	491	7171
77	497	7162
78	503	7148
79	509	7138
80	515	7124
81	521	7114
82	527	7104
83	533	7091
84	539	7081
85	545	7071
86	552	7062
87	558	7052
88	564	7041
89	570	7035
90	576	7024
91	581	7005
92	587	6997
93	593	6983
94	599	6974
95	607	6987
96	613	6972
97	620	6972
98	626	6963
99	632	6955
100	638	6947
101	644	6940
102	650	6932
103	656	6921
104	665	6936
105	674	6958
106	680	6955
107	686	6945
108	692	6936
109	698	6923
110	704	6915
111	711	6907
112	716	6895
113	722	6886
114	728	6875
115	734	6867
116	741	6861
117	747	6851
118	753	6845
119	759	6834
120	765	6825
121	771	6817
122	777	6805
123	783	6797
124	790	6795
125	798	6803
126	804	6793
127	809	6780
128	815	6768
129	820	6754
130	825	6740
131	831	6729
132	837	6717
133	847	6740
134	853	6730
135	859	6720
136	864	6710
137	870	6701
138	876	6693
139	883	6693
140	896	6733
141	906	6750
142	913	6753
143	921	6755
144	930	6767
145	937	6770
146	947	6785
147	957	6803
148	967	6823
149	974	6823
150	983	6835
151	990	6826
152	996	6819
153	1003	6815
154	1009	6806
155	1015	6796
156	1021	6787
157	1027	6778
158	1033	6767
159	1039	6757
160	1045	6748
161	1051	6739
162	1058	6731
163	1063	6721
164	1070	6712
165	1076	6703
166	1082	6695
167	1088	6684
168	1096	6690
169	1102	6681
170	1108	6671
171	1114	6662
172	1116	6627
173	1122	6618
174	1128	6609
175	1134	6600
176	1141	6594
177	1147	6587
178	1153	6577
179	1159	6569
180	1165	6562
181	1171	6551
182	1177	6543
183	1183	6533
184	1189	6524
185	1195	6515
186	1200	6505
187	1206	6497
188	1212	6487
189	1218	6478
190	1225	6472
191	1230	6462
192	1236	6453
193	1243	6445
194	1248	6435
195	1254	6427
196	1260	6416
197	1266	6408
198	1272	6400
199	1278	6391
200	1284	6382
201	1291	6380
202	1298	6379
203	1305	6373
204	1312	6368
205	1318	6360
206	1324	6352
207	1330	6344
208	1336	6335
209	1342	6328
210	1346	6309
211	1352	6300
212	1357	6292
213	1363	6284
214	1369	6275
215	1375	6267
216	1382	6260
217	1388	6252
218	1394	6244
219	1400	6237
220	1406	6229
221	1412	6222
222	1418	6214
223	1424	6208
224	1430	6200
225	1436	6192
226	1442	6184
227	1448	6176
228	1454	6168
229	1462	6168
230	1468	6160
231	1479	6175
232	1490	6187
233	1497	6183
234	1507	6189
235	1513	6181
236	1519	6174
237	1525	6166
238	1531	6158
239	1537	6150
240	1540	6129
241	1546	6120
242	1552	6112
243	1558	6104
244	1563	6095
245	1569	6087
246	1576	6084
247	1583	6080
248	1590	6073
249	1596	6066
250	1602	6058
251	1608	6052
252	1614	6044
253	1621	6038
254	1627	6030
255	1633	6022
256	1639	6016
257	1645	6008
258	1652	6004
259	1661	6008
260	1668	6004
261	1676	6001
262	1682	5994
263	1691	5998
264	1697	5990
265	1703	5983
266	1710	5975
267	1716	5969
268	1722	5961
269	1728	5953
270	1734	5945
271	1740	5939
272	1747	5932
273	1752	5924
274	1759	5917
275	1766	5912
276	1772	5904
277	1778	5897
278	1784	5890
279	1790	5882
280	1796	5874
281	1802	5866
282	1808	5858
283	1814	5851
284	1820	5845
285	1826	5836
286	1831	5826
287	1837	5818
288	1843	5810
289	1848	5801
290	1854	5794
291	1860	5786
292	1866	5778
293	1875	5779
294	1881	5772
295	1888	5766
296	1894	5759
297	1900	5752
298	1906	5744
299	1912	5736
300	1918	5729
301	1924	5721
302	1930	5714
303	1936	5706
304	1942	5698
305	1948	5691
306	1954	5684
307	1960	5676
308	1965	5668
309	1971	5661
310	1977	5653
311	1983	5646
312	1989	5638
313	1993	5623
314	1997	5612
315	2004	5606
316	2010	5600
317	2015	5590
318	2021	5583
319	2027	5575
320	2033	5567
321	2039	5560
322	2044	5552
323	2050	5544
324	2056	5537
325	2062	5530
326	2068	5523
327	2077	5521
328	2083	5514
329	2089	5508
330	2095	5500
331	2101	5493
332	2107	5487
333	2113	5481
334	2119	5473
335	2125	5466
336	2132	5460
337	2138	5453
338	2144	5445
339	2150	5439
340	2156	5433
341	2162	5425
342	2168	5418
343	2174	5411
344	2181	5406
345	2187	5399
346	2193	5392
347	2199	5385
348	2206	5379
349	2208	5364
350	2215	5357
351	2220	5350
352	2227	5343
353	2233	5337
354	2239	5331
355	2245	5323
356	2251	5317
357	2257	5310
358	2263	5302
